a,b,c,d,e,f,g,h,z
410,815,610,2338,972,514,3343,5862,0
366,787,541,2327,854,425,3481,6227,0
341,756,484,2358,892,446,3688,6594,0
434,819,607,2416,1046,540,3532,5984,0
563,936,827,2672,1867,1120,3439,5273,0
653,1003,904,2652,1927,1317,3316,4916,0
599,877,712,3122,1706,1016,4670,6286,2
438,747,498,4021,1681,753,6418,7796,0
451,792,556,3784,1790,887,5874,7438,0
514,849,638,3465,2003,1084,5259,6890,2
601,939,792,3386,2056,1344,4758,6209,0
694,1062,974,3481,2249,1479,4439,5627,2
653,986,877,3440,2010,1225,4642,5937,2
477,828,650,3662,1801,912,5385,6985,0
411,719,481,3979,1805,799,6345,7843,0
435,722,462,4119,1771,765,6708,7983,0
563,820,642,3357,1739,1075,5227,6789,0
833,1024,1003,2254,1795,1476,2601,3841,2
749,1056,1009,2806,2159,1564,3392,4710,2
533,854,647,3693,1820,929,5609,7018,0
435,759,510,3785,1689,730,6028,7625,0
422,848,590,3816,1910,895,5683,7322,0
878,1423,1217,3883,2470,1414,4565,5227,0
1517,1930,1817,4190,2957,1852,4326,3950,0
1776,1990,1916,4333,2957,1801,4831,3868,0
1172,1357,1211,4133,2266,1220,5793,5468,0
387,784,531,3875,1811,825,5905,7590,0
356,743,509,3535,1855,834,5435,7483,0
406,786,551,3114,1548,713,4791,6993,0
411,780,528,3448,1547,694,5394,7344,0
435,813,622,3386,1953,934,4987,6896,0
425,819,578,3525,1821,865,5337,7183,0
551,946,704,3312,1706,850,4864,6494,0
488,1060,819,3293,2042,1104,4252,6017,0
769,1436,1239,3713,2532,1521,4022,4996,0
906,1418,1253,3805,2495,1580,4392,5045,0
782,1416,1262,3721,2513,1584,3985,4935,0
621,929,748,2451,1215,698,3467,5324,0
701,1044,970,2699,1946,1415,3259,4712,0
627,953,803,3145,1895,1093,4415,5932,0
565,889,702,3092,1677,896,4573,6299,0
627,1006,893,2810,1772,1175,3559,5177,0
643,1027,924,2940,1968,1304,3689,5217,0
631,947,825,2850,2076,1587,3874,5510,0
610,913,775,2640,1793,1199,3667,5461,0
459,872,691,2008,1238,842,2590,4880,0
340,736,466,1267,707,462,1739,4622,0
225,637,328,1348,685,392,2193,6086,0
355,789,593,2359,1537,884,3331,5982,0
406,828,629,3435,1916,963,4953,6905,0
451,837,617,3275,1731,794,4888,6829,0
478,866,672,3070,1828,919,4435,6408,0
517,897,720,3006,1930,1032,4250,6135,0
535,897,696,3261,1965,1021,4777,6482,0
498,860,609,3641,1901,898,5590,7134,0
497,886,636,3316,1729,809,4998,6781,0
464,865,603,3393,1641,779,5155,6982,0
455,860,601,3404,1717,809,5154,6999,0
638,1026,819,3420,2028,1086,4799,6136,0
703,1119,983,3259,2106,1310,4098,5365,2
495,872,664,3085,1766,902,4532,6458,0
460,851,619,3003,1609,771,4492,6582,0
463,856,626,2958,1648,802,4403,6507,0
412,821,571,2973,1668,792,4512,6778,0
399,812,572,2996,1710,854,4510,6794,0
429,831,628,2699,1481,797,3908,6225,0
395,805,563,2413,1003,513,3605,6216,0
345,767,506,2423,1007,510,3723,6545,0
302,719,425,2611,1100,545,4238,7200,0
392,775,500,2917,1218,581,4656,7073,0
536,887,723,2907,1702,939,4129,6017,0
651,968,872,3135,2117,1329,4196,5648,0
612,926,816,3040,1774,1124,4166,5768,0
518,846,653,3502,1637,832,5262,6857,0
413,751,492,3965,1759,769,6283,7792,0
474,792,565,4016,1829,864,6229,7533,0
580,946,761,3736,1886,1020,5331,6616,0
513,863,653,4093,1950,1013,6072,7248,0
534,856,674,3811,1941,1034,5662,6994,0
657,1004,902,3150,1985,1241,4122,5548,0
652,998,902,2948,1908,1217,3797,5314,2
649,933,805,3255,1894,1153,4634,6034,2
730,925,796,2744,1712,1217,4043,5503,0
844,1070,1161,2320,2201,1839,2236,3330,2
697,979,1040,3210,2462,1774,3814,5106,2
537,877,659,3903,1956,931,5864,7111,0
433,809,560,3823,1851,833,5854,7445,0
513,1015,763,3962,2107,1063,5443,6770,0
1345,1910,1752,4267,3019,1879,4280,4178,0
2371,2638,2607,4567,3644,2452,3943,2732,0
2056,2213,2164,4440,3094,1965,4740,3446,0
1163,1327,1170,3767,2062,1129,5381,5260,0
428,777,522,3203,1430,663,5107,7197,0
376,778,521,3244,1592,721,5024,7232,0
378,785,510,3601,1791,811,5589,7519,0
410,791,528,3591,1672,751,5596,7436,0
448,827,616,3285,1816,886,4899,6842,0
498,867,682,3198,1999,1048,4640,6485,0
524,888,682,3257,1933,1003,4797,6537,0
356,894,651,3309,1986,1023,4569,6712,0
687,1339,1130,3674,2497,1474,4156,5296,0
1075,1698,1538,4017,2836,1865,4082,4463,0
889,1453,1280,3852,2609,1676,4326,5012,0
618,935,759,2298,952,525,3149,5034,0
645,925,792,2744,1632,964,3855,5520,0
634,945,973,3011,2098,1341,3615,5115,0
734,1041,979,2810,1956,1299,3473,4832,0
674,1030,921,3042,1989,1277,3924,5352,0
592,959,831,2579,1327,803,3330,5126,0
618,945,815,2878,1890,1412,3927,5586,0
556,870,693,2816,1730,1029,4145,6050,0
442,851,673,2886,1844,1030,4065,6218,0
433,772,553,2761,1424,818,4302,6663,0
341,716,502,2187,1169,649,3332,6266,0
430,907,781,3009,1997,1200,3849,5879,0
372,800,546,3544,1759,844,5342,7330,0
400,799,534,3517,1596,720,5435,7364,0
443,817,598,2951,1649,790,4451,6630,0
452,843,617,2939,1739,851,4381,6530,0
466,889,676,3007,1924,989,4295,6329,0
476,872,605,3506,1932,910,5346,7057,0
476,855,587,3528,1862,853,5454,7147,0
433,821,570,3467,1864,874,5310,7176,0
416,797,544,3412,1833,858,5289,7250,0
454,835,590,3322,1847,904,5075,6984,0
523,936,773,3137,2015,1162,4266,6046,0
455,834,605,3035,1732,837,4584,6676,0
475,877,658,2830,1639,812,4109,6227,0
494,888,666,2826,1573,781,4117,6186,0
494,867,649,2774,1480,738,4098,6208,0
477,848,661,2840,1625,843,4118,6224,0
494,883,672,2512,1320,696,3583,5779,0
429,830,598,2394,1106,571,3518,6003,0
350,773,522,2410,1085,559,3654,6439,0
288,714,430,2687,1431,713,4305,7241,0
405,798,565,2372,982,488,3550,6153,0
459,812,581,2756,1075,508,4248,6518,0
478,753,512,4053,1649,722,6538,7757,0
591,876,731,3274,1736,970,4806,6350,0
661,908,716,3078,1627,883,4756,6226,0
557,795,544,3552,1752,790,5950,7344,0
588,857,634,3737,1857,909,5908,7099,0
671,1051,898,2971,1671,997,3889,5358,0
537,805,582,2622,1191,517,4220,6367,0
456,742,512,3751,1725,808,6042,7598,0
603,963,827,2764,1729,1113,3668,5394,0
644,947,828,2563,1594,1106,3415,5116,2
722,1061,1001,2546,1982,1431,2940,4356,2
781,1002,1020,2214,1775,1410,2392,3692,2
759,974,1008,2613,2024,1505,3094,4432,2
603,891,728,3360,1978,1108,4983,6438,0
493,848,602,3846,1961,887,5894,7293,0
533,948,701,3690,1979,965,5376,6807,0
657,1244,1030,3889,2296,1247,4720,5812,0
1387,2114,1985,4364,3273,2068,3747,3747,0
2444,2759,2723,4708,3821,2566,3903,2671,0
2047,2299,2268,4503,3191,2069,4379,3301,0
1284,1578,1447,3889,2307,1350,4718,4576,0
793,1174,991,3682,1967,1030,4918,5759,0
522,907,669,3479,1862,884,5174,6774,0
410,808,552,3504,1814,862,5371,7278,0
452,820,590,3537,1797,867,5383,7141,0
458,851,584,3373,1684,788,5187,7048,0
527,935,678,3445,1758,854,5101,6711,0
529,888,652,3488,1880,935,5278,6850,0
320,832,563,3474,1927,962,5036,7211,0
589,1227,986,3640,2344,1333,4383,5737,0
1108,1705,1538,3997,2725,1729,4122,4443,0
991,1395,1251,3805,2437,1486,4601,5051,0
546,860,641,2846,1290,625,4376,6323,0
544,838,613,3050,1586,753,4817,6653,0
615,966,968,3153,2248,1380,3807,5302,0
752,1117,1127,2448,1977,1487,2434,3695,0
694,1054,977,2805,2108,1333,3395,4833,0
587,957,814,2641,1653,989,3481,5288,0
563,894,858,2674,1662,1046,3338,5142,0
574,902,779,3128,1997,1169,4351,6012,2
485,848,663,2972,1826,1011,4336,6352,0
397,765,519,2823,1391,693,4445,6894,0
409,804,596,2526,1367,754,3702,6182,0
435,826,625,2907,1558,829,4259,6461,0
379,770,513,3410,1547,717,5308,7385,0
398,780,534,3183,1406,635,4941,7127,0
373,785,533,3272,1406,633,5008,7198,0
355,765,507,3460,1475,648,5334,7444,0
395,793,554,3247,1668,791,4947,7085,0
433,838,572,3310,1735,809,5072,7053,0
440,825,565,3328,1754,796,5148,7097,0
424,806,548,3263,1686,776,5076,7124,0
406,797,525,3271,1661,757,5132,7234,0
429,822,562,3254,1744,835,5019,7055,0
497,865,644,3248,1899,965,4864,6691,0
455,844,615,2973,1647,799,4449,6572,0
456,839,595,2922,1610,776,4450,6616,0
451,842,588,3135,1611,754,4795,6841,0
460,858,624,3024,1554,761,4505,6579,0
476,852,651,2766,1514,775,4036,6190,0
471,840,635,2356,1095,569,3406,5754,0
415,805,599,2311,1138,583,3346,5883,0
359,764,512,2351,1025,530,3611,6423,0
303,729,464,2676,1484,746,4193,7045,0
400,800,578,2383,1117,585,3511,6096,0
444,807,594,2614,952,457,3931,6297,0
412,727,478,3723,1531,647,6009,7724,0
538,812,605,3301,1604,789,5226,6902,0
685,910,863,2895,1793,1106,3927,5407,0
811,937,836,3126,2274,1522,4747,5780,0
785,904,738,3231,2104,1298,5295,6281,2
853,1199,1149,2824,2092,1533,3144,4216,2
648,921,773,2581,1343,885,3657,5391,2
590,1009,914,3019,2106,1441,3738,5352,0
667,1013,900,3073,1863,1194,4033,5469,0
480,808,582,3604,1784,914,5598,7219,0
694,992,907,2766,1918,1370,3574,5061,2
782,1095,1101,2369,1947,1541,2418,3654,2
713,1014,916,2954,1948,1274,3889,5266,2
558,823,594,3550,1764,884,5716,7133,0
501,833,596,3729,2001,937,5782,7244,0
525,937,716,3659,1946,927,5249,6727,0
471,1209,969,3898,2292,1236,4526,6018,0
1097,2146,2016,4480,3339,2118,3357,3793,0
2379,2637,2602,4605,3632,2403,4047,2779,0
1985,2350,2323,4606,3314,2140,4179,3295,0
1538,1750,1675,4119,2565,1539,4836,4218,0
862,1074,912,3643,1909,1001,5397,5996,0
496,849,628,3443,1725,851,5216,6915,0
430,831,609,3238,1811,917,4809,6834,0
426,812,585,3262,1737,867,4929,6959,0
423,844,576,3731,1932,934,5628,7325,0
536,940,674,3589,1810,878,5353,6838,0
549,912,661,3719,1842,870,5635,6982,0
334,797,514,3529,1865,897,5343,7457,0
584,1228,1017,3531,2264,1324,4121,5528,0
1085,1659,1496,3925,2629,1632,4113,4481,0
1106,1510,1368,3913,2372,1417,4602,4819,0
453,786,531,3490,1593,716,5571,7359,0
508,821,652,3466,1874,979,5185,6833,0
719,1027,1114,3067,2372,1626,3400,4671,0
823,1195,1251,2690,2317,1762,2565,3651,0
721,1040,963,2811,2094,1404,3505,4897,0
574,872,675,3008,1601,831,4573,6335,0
593,924,809,3010,1863,1115,4101,5763,0
677,990,927,2921,2036,1354,3719,5182,2
562,893,720,3406,1817,1057,4970,6510,2
462,770,551,3578,1649,781,5639,7331,0
515,866,730,2806,1675,957,3895,5871,0
440,827,612,2896,1592,830,4304,6511,0
386,763,506,3104,1426,666,4904,7197,0
372,749,493,3030,1348,626,4806,7201,0
348,712,444,3346,1460,658,5414,7657,0
344,719,470,3396,1412,635,5364,7569,0
365,764,522,2937,1354,659,4529,6982,0
410,798,551,2799,1410,686,4313,6710,0
398,786,531,3030,1629,748,4722,7018,0
412,775,524,3099,1649,753,4894,7107,0
405,763,505,3120,1626,741,4986,7214,0
453,815,578,3160,1772,877,4879,6907,0
485,851,638,3156,1805,921,4717,6637,0
444,792,559,3251,1629,759,5070,7066,0
434,789,552,3359,1619,750,5231,7177,0
415,794,530,3344,1644,744,5245,7264,0
425,811,576,3107,1749,863,4731,6872,0
447,835,625,2798,1626,853,4117,6348,0
431,824,587,2616,1497,751,3930,6335,0
396,790,544,2620,1465,739,4019,6561,0
360,757,514,2516,1139,581,3880,6607,0
332,736,483,2664,1223,603,4171,6930,0
379,779,547,2720,1269,640,4128,6651,0
405,780,575,2846,1399,706,4282,6638,0
358,716,488,3142,1397,622,4957,7311,0
557,813,618,3114,1676,863,4935,6688,0
823,1020,1044,2770,1970,1378,3355,4525,2
1051,1093,1086,2926,2493,1952,3979,4586,0
983,1077,959,3262,2509,1849,4945,5456,2
772,1041,913,3299,2130,1372,4593,5665,0
718,1068,980,3233,2137,1332,4103,5348,0
843,1196,1180,3191,2416,1661,3604,4601,2
575,917,761,3425,1843,1023,4869,6364,0
425,739,529,3775,1681,773,5897,7542,0
563,908,744,3393,1891,1113,4857,6403,0
666,1004,881,3074,1954,1248,4102,5545,0
777,1058,1159,2658,2022,1518,2719,3927,2
759,1108,1108,2796,2278,1712,3069,4324,2
584,925,729,3378,2125,1239,4953,6450,2
503,893,662,3731,1951,933,5508,6986,0
-20,886,632,3772,2031,1007,4432,7130,0
-120,1415,1201,4182,2831,1627,3344,5538,0
919,1783,1810,4611,3403,2081,3769,4362,0
658,1868,1736,4472,3037,1855,3428,4407,0
401,1117,936,3849,2138,1142,4425,6088,0
469,850,575,3622,1753,811,5620,7260,0
418,797,537,3530,1725,808,5495,7359,0
399,780,530,3178,1518,715,4953,7141,0
374,766,512,2996,1436,673,4682,7081,0
354,790,540,3231,1756,830,4869,7136,0
402,849,598,3254,1716,840,4802,6895,0
471,852,590,3430,1698,808,5284,7065,0
383,826,573,3408,1828,915,5072,7121,0
544,1087,898,3182,2065,1259,3941,5598,0
779,1233,1045,3410,2234,1335,4273,5309,0
930,1385,1206,3654,2360,1385,4398,5037,0
479,785,521,3347,1595,715,5485,7306,0
613,857,696,2988,1721,1002,4560,6221,0
834,1056,1184,2817,2278,1802,2987,4081,0
899,1253,1286,2998,2355,1722,3063,3996,0
607,956,804,3064,2038,1217,4237,5843,0
497,799,533,3175,1636,737,5223,7125,0
503,796,556,3293,1610,753,5322,7111,0
544,862,675,3153,1779,952,4721,6473,0
541,924,758,3303,1879,1071,4613,6267,0
519,913,810,3784,1997,1168,5040,6474,0
545,970,913,3251,2135,1326,3992,5615,2
409,755,482,3417,1689,793,5541,7528,0
410,770,501,3148,1525,714,5060,7254,0
436,809,578,2813,1317,629,4294,6591,0
365,757,503,3226,1534,717,5040,7302,0
307,687,389,3703,1507,659,6032,8099,0
347,737,462,2840,1278,627,4570,7202,0
417,791,544,2595,1215,588,4027,6534,0
422,767,519,3311,1531,713,5264,7290,0
455,766,519,3443,1631,734,5561,7380,0
423,766,506,3176,1624,719,5119,7251,0
463,813,584,3145,1732,848,4859,6868,0
471,858,633,3211,1831,957,4782,6707,0
410,782,532,3355,1558,717,5239,7263,0
389,743,475,3841,1601,703,6110,7799,0
414,793,534,3284,1649,768,5137,7203,0
425,812,584,2952,1777,898,4462,6697,0
458,836,634,2737,1751,913,4012,6239,0
458,843,623,2553,1568,796,3753,6077,0
426,831,586,2721,1565,779,4093,6456,0
383,766,524,2882,1406,681,4482,6923,0
378,768,532,2762,1193,584,4250,6770,0
448,846,650,2887,1508,816,4165,6325,0
439,865,666,3136,1806,961,4462,6497,0
405,776,536,3185,1661,779,4956,7119,0
643,900,783,3085,2072,1464,4440,5951,0
831,1074,1078,2704,2353,2042,3142,4299,2
922,1066,1028,2681,2021,1496,3463,4457,0
788,1069,983,3410,2104,1304,4529,5525,2
591,822,593,3517,1780,897,5782,7114,0
578,920,753,3597,2107,1198,5160,6538,0
535,922,717,3458,1934,1038,4985,6565,0
458,797,542,3642,1604,718,5758,7409,0
435,750,480,4161,1701,729,6679,7931,0
510,823,592,3759,1747,846,5871,7279,0
592,932,771,3142,1784,962,4447,6059,0
620,925,1018,2898,1782,1040,3274,4801,0
647,911,1063,2610,1699,1116,2736,4212,0
703,1003,891,2767,1841,1232,3653,5128,0
593,994,842,3330,2016,1218,4464,5964,2
148,840,605,3452,1895,951,4456,7018,0
-71,1047,828,3782,2288,1227,3830,6408,0
-248,1054,886,3959,2391,1319,3635,6343,0
-2,905,703,3905,2039,1050,4413,6949,0
66,703,416,3809,1742,785,5365,8031,0
417,790,530,3656,1767,801,5701,7468,0
400,768,517,3658,1792,817,5707,7523,0
402,747,485,3477,1580,711,5594,7552,0
406,760,506,3152,1494,682,5033,7233,0
402,765,519,3181,1552,698,5011,7195,0
436,782,549,2968,1438,709,4655,6878,0
608,919,733,2856,1589,960,4181,5915,0
674,1019,877,3069,1933,1197,4128,5555,0
631,1045,874,3100,1972,1237,4088,5601,0
598,1090,906,3311,2102,1245,4216,5703,0
658,1090,934,3293,2011,1184,4224,5581,0
484,766,509,3970,1817,795,6460,7727,0
583,848,667,3420,1942,1020,5274,6736,0
682,920,786,2953,1693,1013,4315,5796,0
725,1052,1015,2759,1909,1304,3251,4621,0
673,1017,933,3039,2268,1438,3874,5302,0
499,796,550,3558,1798,848,5734,7322,0
468,773,522,3437,1547,711,5580,7363,0
448,789,535,3433,1638,752,5454,7303,0
466,796,554,3232,1537,724,5126,7073,0
527,898,748,3102,1762,987,4315,6114,0
512,852,680,3539,1802,960,5187,6776,0
410,762,517,3423,1764,820,5401,7376,0
425,792,544,3098,1665,779,4846,7013,0
475,859,649,2688,1503,750,3915,6110,0
423,804,583,2723,1666,831,4100,6473,0
343,746,484,3010,1650,819,4733,7230,0
329,706,423,2583,1335,666,4268,7186,0
398,783,529,2651,1294,648,4132,6673,0
482,813,597,2935,1547,866,4530,6619,0
600,960,817,3272,1877,1218,4488,6004,0
484,791,568,3334,1648,797,5274,7089,0
480,867,651,3173,1676,880,4678,6595,0
434,812,574,3251,1706,813,4980,6999,0
443,818,586,2792,1221,609,4247,6530,0
438,812,576,2907,1395,684,4456,6693,0
437,801,567,2821,1667,823,4353,6653,0
431,804,592,2905,1816,926,4373,6614,0
412,799,556,2785,1806,904,4276,6672,0
405,785,531,2772,1698,839,4336,6785,0
460,829,586,2787,1480,723,4281,6525,0
425,782,541,3177,1570,739,4979,7090,0
453,848,659,2922,1594,850,4197,6319,0
558,968,895,3149,2157,1411,3931,5574,0
419,810,529,3319,1722,788,5225,7251,0
438,822,597,3226,1830,936,4860,6877,0
640,1000,921,2901,2130,1495,3632,5181,0
658,975,854,2664,1942,1441,3521,5145,0
706,959,901,2586,1823,1201,3318,4832,0
678,1020,1033,3044,2075,1388,3551,4933,2
504,794,550,3285,1523,755,5340,7132,0
424,801,616,3371,1780,916,4960,6910,0
469,818,720,3264,1984,1093,4521,6386,0
495,797,589,3126,1589,846,4899,6829,0
585,849,676,3388,1787,1010,5193,6673,0
628,946,839,3379,1909,1095,4634,6022,0
553,892,702,3051,1646,849,4478,6259,0
550,865,643,2846,1285,657,4378,6314,0
548,920,688,2682,1403,803,3925,5917,0
647,1060,985,2755,2027,1449,3204,4733,0
672,1049,999,2480,1817,1274,2756,4257,2
451,998,866,3158,1970,1232,3827,5696,0
444,1149,986,3589,2226,1238,4023,5690,0
196,1013,828,3652,2078,1076,4117,6304,0
131,744,487,3657,1855,861,5081,7650,0
249,733,477,3761,1919,875,5564,7749,0
423,787,540,3679,1870,841,5709,7440,0
401,749,490,3720,1823,793,5915,7672,0
410,735,482,3633,1632,703,5857,7657,0
441,756,529,3067,1533,738,4906,7058,0
458,789,615,3062,1751,962,4594,6655,0
489,801,605,3133,1699,972,4826,6763,0
734,1050,958,2899,2024,1573,3692,5032,2
696,1095,961,2770,1879,1256,3396,4849,0
607,1016,886,3012,1969,1336,3858,5454,0
445,882,652,3205,1851,1015,4632,6619,0
424,809,592,3068,1632,877,4606,6765,0
501,783,517,4295,1801,772,6925,7851,0
698,994,1015,3505,2138,1367,4335,5509,0
734,999,949,2847,1800,1148,3640,5000,0
656,910,832,2664,1786,1157,3596,5240,0
696,959,911,2794,2034,1432,3610,5082,0
631,936,816,3300,2007,1227,4612,6035,2
502,834,638,3477,1805,944,5242,6899,0
434,773,543,3552,1677,794,5550,7348,0
445,779,530,3403,1576,727,5423,7305,0
511,873,680,3235,1716,899,4738,6526,0
401,774,526,3763,1629,756,5817,7547,0
412,757,516,3457,1722,774,5461,7402,0
420,780,534,3123,1711,799,4912,7080,0
436,809,566,3083,1704,804,4764,6898,0
366,745,477,3235,1715,791,5164,7430,0
333,710,436,2989,1594,776,4869,7454,0
305,670,379,2341,1008,537,3979,7213,0
409,774,535,2430,1077,538,3768,6391,0
461,788,572,2798,1356,711,4357,6605,0
663,970,831,3001,1968,1375,4168,5663,2
574,947,790,3463,2036,1300,4808,6285,2
531,917,737,3242,1829,1020,4577,6296,0
396,754,520,3373,1483,696,5274,7329,0
374,682,453,3560,1297,551,5765,7742,0
428,767,531,3210,1507,713,5079,7161,0
439,793,555,3003,1651,807,4693,6880,0
449,807,595,3004,1757,879,4560,6694,0
424,791,548,2933,1778,858,4572,6851,0
440,827,586,2788,1676,813,4233,6526,0
490,850,608,2776,1403,680,4251,6407,0
465,793,551,3227,1460,663,5128,7083,0
445,810,581,3356,1627,784,5137,7049,0
468,776,564,3961,1819,895,6138,7507,0
377,694,434,4070,1587,667,6565,8073,0
422,771,533,3528,1650,789,5521,7375,0
568,905,760,3404,1941,1183,4823,6350,0
483,795,586,3679,1766,869,5697,7252,0
572,867,806,2945,1748,1042,3964,5702,0
633,1023,1199,3379,2337,1537,3444,4762,0
407,755,538,3775,1838,875,5801,7505,0
384,748,527,3134,1424,682,4858,7121,0
491,844,693,3078,1767,970,4399,6325,0
533,801,634,2763,1635,975,4234,6267,0
704,1018,947,2598,1918,1504,3175,4657,2
647,1003,903,3026,2080,1319,3905,5403,2
476,828,653,3291,1656,848,4835,6689,0
421,758,554,3581,1587,745,5505,7320,0
433,756,556,3434,1594,854,5321,7213,0
623,1009,901,3160,2055,1339,4065,5563,0
523,897,694,3177,1726,974,4626,6414,0
577,961,811,3136,1904,1186,4251,5891,0
721,1142,1047,3162,2191,1425,3767,5025,2
599,932,782,3153,1954,1105,4439,6025,2
464,851,633,3384,1908,957,5019,6848,0
420,800,552,3438,1928,967,5305,7233,0
393,742,478,3830,1728,754,6094,7781,0
421,764,506,3534,1761,774,5644,7495,0
455,765,532,3122,1519,692,5019,7088,0
524,827,638,2824,1587,1066,4296,6314,0
703,1000,898,3062,2083,1356,4105,5465,0
699,1029,926,2741,1914,1364,3476,4950,0
882,1304,1297,3009,2455,1747,3019,3976,2
548,854,650,2502,1232,722,3767,5876,0
546,915,732,2725,1569,983,3826,5765,0
440,841,600,2934,1496,762,4409,6604,0
501,939,797,2919,1862,1201,3805,5710,0
491,798,555,3259,1366,611,5238,7090,0
583,865,712,3502,1790,959,5205,6621,0
650,946,859,3091,1905,1124,4174,5651,0
566,872,734,2625,1554,898,3698,5630,0
570,816,654,2607,1375,875,3984,5989,0
553,823,664,2824,1432,948,4265,6193,2
559,870,716,2793,1495,837,4026,5919,0
430,816,611,3801,1776,899,5600,7230,0
406,766,533,3787,1723,794,5836,7532,0
447,824,601,3602,1706,835,5415,7140,0
393,752,490,3985,1709,757,6251,7810,0
402,756,491,3569,1685,765,5700,7581,0
406,771,508,3154,1644,761,5028,7226,0
402,762,493,3312,1710,775,5317,7409,0
342,729,455,3438,1626,732,5482,7662,0
362,747,517,2938,1447,701,4542,7007,0
378,756,547,2330,1106,593,3489,6197,0
462,824,633,2186,837,439,3101,5509,0
485,822,646,2669,1169,686,3918,6103,0
683,922,882,3103,1769,1360,4183,5573,2
630,939,848,3489,2071,1348,4766,6089,2
543,909,737,3250,1768,1003,4620,6303,0
403,751,524,3134,1355,644,4922,7135,0
361,712,471,3401,1380,614,5418,7567,0
388,733,470,3618,1550,687,5818,7701,0
433,784,531,3373,1675,783,5337,7280,0
403,760,519,3465,1614,747,5433,7395,0
358,715,449,3646,1537,663,5853,7807,0
367,698,431,3689,1507,635,6023,7908,0
406,740,499,3339,1472,652,5343,7400,0
403,744,497,3398,1486,652,5430,7448,0
399,725,466,3717,1559,670,6011,7772,0
364,689,421,4185,1575,644,6731,8172,0
355,676,406,4270,1538,626,6879,8263,0
394,747,503,3810,1603,726,5959,7668,0
412,752,507,3985,1705,763,6239,7743,0
389,676,400,4589,1701,683,7442,8396,0
477,796,605,3749,1661,848,5695,7221,0
574,939,835,3099,1709,969,4100,5755,0
465,810,626,3140,1483,716,4687,6676,0
432,771,559,2517,1164,582,3875,6365,0
479,771,577,2716,1435,714,4249,6496,0
553,790,628,2931,1726,1059,4587,6471,0
684,890,764,2898,1904,1323,4319,5827,2
600,868,709,3186,1885,1111,4786,6359,2
449,757,543,3499,1595,752,5519,7313,0
405,736,507,3949,1615,717,6167,7724,0
443,821,625,3717,1838,964,5465,7121,0
613,1017,873,3430,2128,1261,4543,5942,0
478,885,636,3202,1686,840,4776,6686,0
414,816,574,3475,1674,836,5250,7165,0
488,843,641,3356,1719,907,5012,6793,0
568,1006,886,3002,1975,1267,3763,5442,2
601,1016,957,2941,2126,1403,3499,5090,2
631,961,912,2981,2041,1268,3770,5315,2
474,828,640,2920,1634,866,4317,6404,0
464,796,550,2966,1444,686,4724,6871,0
482,793,564,2900,1466,730,4610,6744,0
628,935,795,2771,1800,1363,3850,5541,2
610,911,774,2558,1685,1137,3532,5354,2
642,986,868,2987,2041,1315,3959,5497,0
581,892,695,3170,1765,973,4766,6404,0
474,784,567,2564,1166,624,4023,6378,0
481,813,596,2441,1153,676,3717,6075,0
372,726,456,2278,998,472,3726,6664,0
390,788,523,2755,1423,780,4303,6809,0
466,792,561,2965,1370,649,4682,6818,0
466,776,528,3217,1452,651,5215,7180,0
486,800,563,3223,1512,728,5133,7026,0
474,773,530,3086,1414,661,5027,7069,0
448,741,484,3574,1447,659,5889,7615,0
408,727,474,4001,1550,707,6396,7882,0
409,729,495,4131,1636,726,6477,7860,0
355,703,448,4285,1673,731,6703,8107,0
383,744,498,4023,1719,782,6233,7797,0
427,805,586,3639,1755,874,5470,7226,0
368,717,460,3947,1702,755,6250,7912,0
397,768,511,3404,1794,842,5360,7390,0
396,761,496,3061,1626,746,4907,7211,0
394,747,488,3123,1663,766,5030,7297,0
411,781,559,2829,1531,732,4332,6700,0
451,848,684,2467,1326,674,3380,5659,0
425,819,623,2604,1247,646,3765,6139,0
435,802,569,2734,1215,595,4200,6555,0
470,804,603,2820,1449,725,4292,6477,0
567,872,812,3014,1856,1086,4038,5755,0
669,1042,1014,3188,2175,1433,3813,5174,0
579,971,830,2658,1673,1100,3437,5241,0
388,710,493,2520,1185,599,4032,6728,0
398,719,513,3254,1482,705,5134,7276,0
418,765,545,3114,1576,753,4848,7021,0
459,795,581,3119,1623,792,4821,6859,0
404,758,530,3613,1620,753,5600,7441,0
343,697,426,3774,1472,602,6084,7971,0
340,704,431,3710,1459,597,5964,7918,0
347,708,437,3654,1463,607,5882,7864,0
377,721,453,3602,1540,665,5835,7766,0
421,752,482,3543,1598,707,5764,7605,0
433,790,525,3553,1672,775,5626,7425,0
399,754,506,3742,1675,779,5868,7618,0
381,712,468,3887,1639,731,6177,7851,0
391,728,486,3638,1659,736,5785,7643,0
385,734,505,3645,1654,738,5694,7566,0
474,801,604,3432,1570,772,5237,7007,0
568,931,814,2386,1215,649,3021,4913,0
529,891,768,2344,1082,508,3034,5064,0
511,853,741,2427,1302,756,3232,5322,0
524,862,702,3333,1946,1070,4831,6520,2
560,801,567,3668,1881,996,6024,7322,0
750,944,881,2891,1995,1408,4003,5329,2
595,870,668,3446,1843,1037,5346,6753,0
432,733,486,3563,1502,673,5810,7599,0
373,727,478,3597,1435,638,5705,7654,0
434,813,580,3176,1451,725,4843,6912,0
525,918,748,2618,1460,855,3550,5556,0
474,857,651,2646,1466,752,3837,6051,0
398,775,511,3307,1685,768,5221,7323,0
391,774,517,3389,1669,769,5296,7353,0
