a,b,c,d,e,f,g,h,z
366,750,487,3031,1390,648,4815,7231,0
355,752,501,2983,1378,653,4656,7124,0
455,850,617,2813,1352,654,4190,6402,0
557,929,737,2717,1413,817,3819,5732,0
526,823,615,2081,1030,592,3099,5438,0
453,825,590,2959,1392,706,4520,6675,0
502,901,684,3303,1760,920,4800,6569,0
498,896,686,3360,1783,905,4865,6609,0
470,862,637,3371,1723,861,5001,6821,0
460,841,587,3449,1630,760,5292,7091,0
435,807,541,3466,1628,734,5437,7300,0
407,777,511,3399,1636,731,5383,7386,0
391,771,513,3408,1642,744,5340,7383,0
421,791,536,3404,1569,721,5326,7279,0
383,775,498,3777,1533,653,5901,7670,0
349,778,470,4198,1640,658,6472,7986,0
369,795,497,4127,1679,691,6328,7850,0
381,770,479,4033,1603,665,6324,7877,0
422,759,477,3925,1605,680,6328,7833,0
448,781,523,3593,1540,688,5740,7459,0
499,859,696,3374,1872,1062,4849,6580,0
531,936,944,2878,1983,1373,3321,5060,0
375,735,690,2149,1085,693,2707,5139,0
260,586,351,1634,432,178,2721,6463,0
237,576,365,1672,489,209,2704,6416,0
200,568,322,2355,1003,443,3975,7594,0
267,642,371,3497,1704,778,5696,8082,0
333,693,422,3887,1977,894,6222,8041,0
402,731,472,3645,1914,880,5893,7707,0
457,805,617,3295,1857,917,4934,6846,0
487,814,654,2917,1673,882,4290,6337,0
444,787,603,2897,1612,859,4350,6554,0
382,731,499,3048,1537,754,4836,7186,0
339,685,432,2642,1143,541,4353,7189,0
678,799,553,2328,789,350,4202,6161,0
667,782,536,2265,742,327,4125,6173,0
729,830,609,2272,842,409,3975,5772,0
782,867,691,1833,762,463,2823,4525,0
734,854,675,2258,966,558,3663,5397,0
672,786,578,2498,962,532,4393,6242,0
704,803,595,1763,631,333,2905,4953,0
687,791,576,1565,594,312,2505,4619,0
3218,3474,3501,5431,4631,3271,3922,2161,0
2799,2946,2956,4991,4084,2835,4336,2561,0
2806,2873,2790,4821,4044,2773,4828,2669,0
2985,3094,3134,5165,4240,2936,4384,2447,0
2691,2748,2758,4916,3735,2480,4782,2812,0
2246,2566,2494,4697,3738,2398,4297,3064,0
2644,2981,2995,5018,4107,2741,3844,2525,0
2593,2904,2866,4861,3895,2578,3955,2582,0
2404,2605,2587,4722,3511,2211,4370,2921,0
1719,2015,1879,4377,2903,1722,4895,3993,0
902,1517,1270,4138,2631,1526,4782,5303,0
583,1076,828,3644,2052,1126,4944,6297,0
342,818,525,3269,1589,770,4952,7232,0
431,849,575,3149,1493,720,4814,6912,0
363,773,506,2994,1351,662,4674,7109,0
345,722,457,2491,1070,541,4021,6900,0
361,715,493,2328,1060,591,3647,6505,0
478,892,729,2429,1367,920,3215,5383,0
554,942,784,2912,1764,1130,3952,5758,0
602,940,784,2779,1674,1057,3846,5599,0
626,1045,894,3091,1968,1239,3992,5513,0
626,1021,851,3216,1964,1124,4339,5815,0
521,922,683,3505,1982,1022,5151,6738,0
428,815,550,3328,1574,732,5176,7163,0
382,757,498,3123,1393,650,4954,7249,0
378,778,498,3108,1387,643,4920,7238,0
445,833,567,3014,1382,651,4678,6833,0
509,884,663,3022,1509,793,4474,6402,0
503,887,693,2759,1550,898,3929,5985,0
469,888,686,3005,1550,856,4262,6283,0
454,835,604,2891,1317,643,4361,6544,0
458,856,623,3316,1649,804,4943,6837,0
466,877,631,3404,1674,789,5062,6872,0
547,987,779,3470,1793,897,4791,6333,0
472,864,627,3275,1641,807,4905,6786,0
412,800,565,3273,1666,797,4988,7056,0
391,770,513,3440,1667,763,5386,7405,0
420,808,581,3358,1608,751,5070,7050,0
402,778,521,3743,1610,714,5814,7556,0
366,766,473,4035,1592,640,6303,7902,0
393,792,506,4069,1672,694,6292,7788,0
443,806,551,3620,1540,680,5640,7358,0
493,866,666,2700,1192,595,3912,6043,0
403,774,534,3439,1539,698,5332,7312,0
428,796,627,3480,1767,924,5083,6947,0
557,962,1017,2687,1948,1314,2857,4509,0
415,758,701,1837,771,470,2196,4476,0
267,590,386,1690,465,210,2716,6281,0
259,568,359,1704,528,240,2822,6520,0
257,616,382,2294,1011,470,3776,7145,0
